1,Whispering Cosmos,Casey Moore,Astronomy,12,91.74
2,The Quantum Garden,Jim Anderson,Physic,13,134.58
3,Threads of Logic,Taylor Brown,Math,8,88.36
4,Chronicles of Silence,Joe Thomas,History,17,119.67
5,Circuit Alchemy,Dan Smith,Technology,9,106.15
6,Voices of the Unknown,Sam Lee,Novel,14,93.25
7,Formula of the Forgotten,Roy Taylor,Chemisty,15,122.84
8,The Infinity Cipher,Alex Anderson,Physic,16,142.99
9,Whispers in Code,Morgan Moore,Language,12,58.77
10,The Genetic Compass,Rick Thomas,Biology,11,111.06
